,district,address,room_count,area,floors,house_type,price,latitude,longitude,quadrant,price_psqm
2760,centrs,Baznīcas 13,3,125.0,5/5,P. kara,1300.0,56.956462,24.1187486,980.0,10.4
2761,Āgenskalns,Ļermontova 6,1,30.0,4/5,P. kara,300.0,56.94087715,24.07098243582901,781.0,10.0
2763,Purvciems,Vaidavas 15/1,3,123.0,5/7,Jaun.,590.0,56.9604341,24.1755855,991.0,4.796747967479675
2774,Ziepniekkalns,Bauskas 100,1,30.0,1/2,Priv. m.,170.0,56.91417815,24.1156818,412.0,5.666666666666667
2777,centrs,Brīvības 37,5,123.0,4/6,P. kara,1325.0,56.9557032,24.1199971,980.0,10.772357723577235
2779,Sarkandaugava,Tvaika 14,2,51.0,2/5,Hrušč.,300.0,56.9993082,24.118118775932345,1484.0,5.882352941176471
2781,Vecāķi,Puikules 10а,1,26.0,2/2,Priv. m.,500.0,57.0774764,24.110400050000003,,19.23076923076923
2789,Jugla,Silciema 16,1,18.0,1/1,Priv. m.,180.0,56.985900650000005,24.23835745,1382.0,10.0
2794,Sarkandaugava,Tvaika 54,2,54.0,2/5,Hrušč.,300.0,57.008275,24.1229574,1611.0,5.555555555555555
2795,Ziepniekkalns,Ozolciema 52,1,41.0,7/9,LT proj.,400.0,56.9010096,24.099975638354906,283.0,9.75609756097561
2799,Dārzciems,Jaunrozes 15,1,28.0,4/5,Hrušč.,245.0,56.94714025,24.16602555051113,863.0,8.75
2800,centrs,Ģertrūdes 30,2,61.0,2/5,P. kara,700.0,56.9551565,24.1264179,918.0,11.475409836065573
2802,centrs,Matīsa 81A,1,28.0,2/2,P. kara,265.0,56.9530372,24.1422169,921.0,9.464285714285714
2807,Mežciems,Hipokrāta 22,2,40.0,1/5,Jaun.,550.0,56.96106325,24.24030524319303,1067.0,13.75
2831,Imanta,Kleistu 15,2,52.0,3/9,602.,370.0,56.9635327,24.023010376357096,1024.0,7.115384615384615
2841,centrs,Bruņinieku 66,2,53.0,3/5,P. kara,350.0,56.9529258,24.1379066,921.0,6.60377358490566
2842,centrs,Čaka 110,4,80.0,4/5,P. kara,280.0,56.9593055,24.142857027169327,985.0,3.5
2853,centrs,Eksporta 4,2,65.0,1/5,P. kara,475.0,56.9610627,24.09880639390207,1039.0,7.3076923076923075
2857,Šampēteris-Pleskodāle,Lielirbes 13,2,68.0,10/30,Jaun.,550.0,56.9348241,24.0428561,650.0,8.088235294117647
2867,centrs,Ģertrūdes 39,3,108.0,6/6,P. kara,680.0,56.954091,24.1288911,919.0,6.296296296296297
2875,Vecrīga,Audēju 2,1,45.0,3/5,Jaun.,500.0,56.947142,24.1109199,852.0,11.11111111111111
2880,centrs,Čaka 109,3,75.0,6/6,P. kara,600.0,56.9583116,24.1398681,984.0,8.0
2892,Mežaparks,Jaunā Mežaparka 34,2,48.0,1/3,Jaun.,750.0,56.99383675,24.15716377593282,1428.0,15.625
2893,centrs,Rūpniecības 21,3,94.0,2/7,Jaun.,1100.0,56.9660465,24.1019662,1102.0,11.702127659574469
2895,Ziepniekkalns,Skaistkalnes 17,3,53.0,1/5,Jaun.,500.0,56.9148436,24.101803762989245,409.0,9.433962264150944
2898,centrs,Elizabetes 63,4,180.0,5/5,Renov.,1800.0,56.9531617,24.119692,917.0,10.0
2899,centrs,Ģertrūdes 39,2,72.0,5/6,Renov.,500.0,56.954091,24.1288911,919.0,6.944444444444445
2900,Mežciems,Vecā Biķernieku 13,2,60.0,2/4,Jaun.,550.0,56.958235,24.24188145812439,1004.0,9.166666666666666
2911,Šampēteris-Pleskodāle,Šampētera 5A,2,48.0,1/2,Staļina,372.0,56.9404991,24.0330913,711.0,7.75
2915,Imanta,Slokas 130a,2,62.0,1/7,Jaun.,480.0,56.96465555,24.01514990574056,1022.0,7.741935483870968
2919,Ķengarags,Prūšu 3 k7,2,40.0,3/5,LT proj.,380.0,56.9160681,24.183460074373464,489.0,9.5
2920,Zolitūde,Ruses 14,1,60.0,4/7,119.,350.0,56.9472328,24.00428119416181,831.0,5.833333333333333
2921,Ķengarags,Maskavas 317,1,35.0,1/12,M. ģim.,230.0,56.9086945,24.1843373,363.0,6.571428571428571
2923,Purvciems,Ainavas 2,3,60.0,2/5,602.,400.0,56.9640707,24.190404975597417,1057.0,6.666666666666667
2924,Āgenskalns,Nomales 6,1,31.0,5/5,Hrušč.,250.0,56.93657195,24.057155758808875,715.0,8.064516129032258
2928,centrs,Dzirnavu 98,4,102.0,4/5,P. kara,630.0,56.9497989,24.12399875800296,855.0,6.176470588235294
2930,Sarkandaugava,Limbažu 21,2,49.0,2/5,Specpr.,430.0,57.000697,24.1188969,1547.0,8.775510204081632
2931,Jugla,Mārkalnes 1,1,19.0,5/5,M. ģim.,99.0,56.9917901,24.2289408,1443.0,5.2105263157894735
2936,centrs,Čaka 54,4,100.0,2/5,P. kara,750.0,56.9545069,24.1333641,920.0,7.5
2950,centrs,Dzirnavu 159,3,53.0,3/4,P. kara,350.0,56.946983,24.1255417,855.0,6.60377358490566
2952,Teika,Bajāru 16,1,42.0,5/5,Jaun.,350.0,56.97194275,24.180715150458084,1181.0,8.333333333333334
2954,centrs,Stabu 59,1,14.0,1/5,P. kara,180.0,56.9535308,24.134972299748743,920.0,12.857142857142858
2955,Purvciems,Braslas 53,2,50.0,1/5,Jaun.,420.0,56.95747179999999,24.16698908820361,989.0,8.4
2959,Vecmīlgrāvis,Skuju 29,1,31.0,2/4,Staļina,240.0,57.03518385,24.10842645827041,1923.0,7.741935483870968
2960,Vecmīlgrāvis,Skuju 29,1,26.0,4/4,Staļina,250.0,57.03518385,24.10842645827041,1923.0,9.615384615384615
2994,centrs,Marijas 16,2,53.0,2/6,P. kara,430.0,56.9505796,24.1255938,918.0,8.11320754716981
3001,Āgenskalns,Ernestīnes 7,2,33.0,2/3,P. kara,400.0,56.94268185,24.0737633,782.0,12.121212121212121
3004,centrs,Valdemāra 67,4,95.0,2/6,P. kara,780.0,56.9617709,24.1225797,1044.0,8.210526315789474
3011,Sarkandaugava,Alekša 3,2,33.0,2/2,P. kara,190.0,56.99261715,24.12594903802161,1422.0,5.757575757575758
3023,Purvciems,Ieriķu 58,2,52.0,3/9,Specpr.,320.0,56.9655739,24.18301731808966,1119.0,6.153846153846154
3024,Purvciems,Stirnu 35,2,48.0,3/9,602.,300.0,56.9604641,24.186718577461097,993.0,6.25
3029,Āgenskalns,Nometņu 60,1,16.0,2/2,Specpr.,300.0,56.9370295,24.0714857,718.0,18.75
3032,Zolitūde,Zolitūdes 36/1,1,43.0,8/9,119.,289.0,56.9485467,23.9995972,830.0,6.72093023255814
3041,centrs,Miera 95,3,86.0,6/7,P. kara,500.0,56.959904,24.1290166,982.0,5.813953488372093
3042,Teika,Zemgala 52,2,55.0,1/1,Priv. m.,350.0,56.9713309,24.16834350282152,1179.0,6.363636363636363
3045,centrs,Mednieku 4,1,40.0,4/4,Renov.,520.0,56.9599919,24.1066379,977.0,13.0
3046,Āgenskalns,Kristapa 8a,1,17.0,4/4,M. ģim.,240.0,56.94299875,24.061085533874504,779.0,14.117647058823529
