district,address,room_count,area,floors,house_type,price,latitude,longitude
Āgenskalns,M. Nometņu 76,1,23,2/2,Renov.,290  €/mēn.,,
Pļavnieki,Salnas 1,4,75,9/9,467.,"75,000  €",56.9437576,24.217925052427685
Āgenskalns,Valentīna 16,2,50,1/3,Jaun.,"112,000  €",,
Purvciems,Dzelzavas 101,2,50,1/5,LT proj.,"56,500  €",56.95508045,24.205017412541544
Vecmīlgrāvis,Kāvu 4,2,51,4/5,LT proj.,"37,000  €",57.0331188,24.100459327776196
Zolitūde,Anniņmuižas 20,5,230,5/5,Jaun.,"279,000  €",56.94280435,24.017229193873447
Mangaļi,Carnikavas 3c,1,24,1/1,Jaun.,230  €/mēn.,,
Ķengarags,Aviācijas 23/1,1,33,6/12,Čehu pr.,"39,000  €",56.9013412,24.2054839
centrs,Elizabetes 9,3,70,5/5,Renov.,"146,000  €",56.9592539,24.100972
Teika,Biķernieku 11,4,93,3/4,P. kara,"179,500  €",56.9721296,24.1691892
Imanta,Imantas 3a,1,28,3/5,LT proj.,300  €/mēn.,56.9534164,24.026215098612447
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"49,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"49,500  €",51.77014725,-1.2649910410071945
Imanta,Kleistu 18,3,54,3/5,LT proj.,"49,500  €",56.9639437,24.0251169448514
Pļavnieki,Lubānas 123,1,39,2/16,Specpr.,300  €/mēn.,56.9411711,24.237357
Ķengarags,Maskavas 315,1,36,9/12,Čehu pr.,220  €/mēn.,56.9091346,24.18367779623388
Pļavnieki,Jasmuižas 10,3,62,2/9,602.,"69,500  €",56.93629135,24.21097456151544
Āgenskalns,Ernestīnes 4A,2,42,2/2,Specpr.,"46,000  €",56.9435901,24.0735055
Šampēteris-Pleskodāle,Lielirbes 13,3,90,6/30,Jaun.,"169,000  €",56.9348241,24.0428561
Šampēteris-Pleskodāle,Lielirbes 13,3,94,6/30,Jaun.,680  €/mēn.,56.9348241,24.0428561
centrs,Tallinas 91,1,24,1/3,Renov.,"54,500  €",56.9557254,24.1503509
centrs,Tallinas 91,3,105,1/3,Renov.,"245,700  €",56.9557254,24.1503509
centrs,Tallinas 91,2,36,3/3,Renov.,"87,700  €",56.9557254,24.1503509
centrs,Tallinas 91,3,47,2/3,Renov.,"111,900  €",56.9557254,24.1503509
Ķengarags,Maskavas 297,1,36,10/12,Čehu pr.,250  €/mēn.,56.9141664,24.176719627389215
centrs,Tallinas 91,1,20,1/3,Renov.,"45,900  €",56.9557254,24.1503509
Āgenskalns,Smiļģa 8,2,44,1/2,Renov.,520  €/mēn.,56.9419115,24.0804191077791
Āgenskalns,Ļermontova 3,2,51,1/2,M. ģim.,"74,200  €",56.94047275,24.07170967717864
Imanta,Kurzemes pr. 152,1,35,8/9,602.,"45,000  €",,
Čiekurkalns,Čiekurkalna 3. šķ l. 2,2,27,2/2,P. kara,"20,000  €",,
Mežaparks,Viestura pr. 24,1,31,5/5,Hrušč.,"36,000  €",,
Imanta,Anniņmuižas 38K1,2,118,1/18,Jaun.,"117,000  €",56.961182750000006,24.01721455431201
Imanta,Kleistu 6,3,54,5/5,LT proj.,390  €/mēn.,56.9603664,24.02378672059732
Vecmīlgrāvis,Dombrovska 7б,3,60,2/2,P. kara,"28,000  €",57.0277911,24.11380012084323
Purvciems,Lielvārdes 103,3,71,12/12,104.,"69,000  €",56.9601372,24.198582939838914
Iļģuciems,Lidoņu 19,2,49,3/5,LT proj.,290  €/mēn.,56.97071185,24.06133985914488
centrs,Artilērijas 25,3,60,2/3,P. kara,700  €/mēn.,56.9586169,24.1404527
Imanta,Slokas 111h,3,82,4/4,Jaun.,740  €/mēn.,56.96134625,24.039993072806983
centrs,Tallinas 30,1,33,1/5,Staļina,320  €/mēn.,56.9621313,24.1383736
Imanta,Kurzemes pr. 164,3,62,4/9,602.,"55,500  €",,
Iļģuciems,Spilves 35,3,60,1/5,LT proj.,"42,000  €",56.97089835,24.050697839740387
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"66,500  €",51.77014725,-1.2649910410071945
Stāvs:,- ,Sērija:103.104.119.467.602.Čehu pr.Hrušč.LT proj.M. ģim.P. karaPriv. m.Renov.Specpr.StaļinaJaun. ,Sērija,Cena,LT proj.,"66,500  €",51.77014725,-1.2649910410071945
Purvciems,Andromedas g. 1,2,49,5/5,LT proj.,"66,500  €",56.9604406,24.1986457
centrs,Sadovņikova 21,3,54,1/4,Renov.,"87,000  €",,
centrs,Sadovņikova 21,1,35,4/5,Specpr.,"45,000  €",,
Ķengarags,Glūdas 15,2,47,1/5,Hrušč.,350  €/mēn.,56.91339875,24.1750019
Ķengarags,J. Rancāna 4,2,47,2/5,Hrušč.,"43,000  €",,
Ķengarags,Aglonas 31,2,40,1/5,Hrušč.,"48,000  €",56.9127093,24.184851050467408
Pļavnieki,Salnas 24,1,39,3/5,M. ģim.,200  €/mēn.,56.94167865,24.22621375
centrs,Dzirnavu 119,2,60,2/5,P. kara,500  €/mēn.,56.946983,24.1255417
Ziepniekkalns,Ēbeļmuižas 20,1,36,1/9,602.,"41,000  €",56.90359295,24.099094942910533
Pļavnieki,Deglava 126,3,79,2/9,119.,480  €/mēn.,56.94660995,24.200166341920063
